Organization,A-content,G-content,C-content,T-content
Non-Nested,0.1388888888888889,0.375,0.25,0.2361111111111111
Non-Nested,0.19047619047619047,0.34523809523809523,0.2619047619047619,0.2023809523809524
Non-Nested,0.2361111111111111,0.25,0.20833333333333331,0.3055555555555556
Non-Nested,0.1388888888888889,0.375,0.25,0.2361111111111111
Non-Nested,0.1388888888888889,0.375,0.25,0.2361111111111111
Non-Nested,0.1388888888888889,0.375,0.25,0.2361111111111111
Nested,0.18292682926829268,0.32926829268292684,0.25609756097560976,0.23170731707317074
Nested,0.20833333333333331,0.3194444444444444,0.2638888888888889,0.20833333333333331
Nested,0.18055555555555555,0.3333333333333333,0.2916666666666667,0.19444444444444445
Nested,0.18055555555555555,0.3333333333333333,0.2916666666666667,0.19444444444444445
Nested,0.18055555555555555,0.3333333333333333,0.2916666666666667,0.19444444444444445
Non-Nested,0.1951219512195122,0.3170731707317073,0.24390243902439024,0.24390243902439024
Non-Nested,0.18292682926829268,0.32926829268292684,0.23170731707317074,0.25609756097560976
